K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,omega_min,omega_abs_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent
0.8,2.0,0.0,0.03818344365327131,0.00011339456151026779,0.0,0.2541027127757677,12.599999990343322,12.599999990343322,0.0011739084061956296,12.599999990343322,0.0,0.0,1.335,2.402340337241748e-09,2.4023403372417483e-07,10.298971627629896,0.0,0.0
0.8,2.0,0.0001,0.038183089773131625,0.00011342313625716423,0.0,0.25410023927584885,12.599999990397318,12.599999990397318,0.0011739084061956296,12.599999990397318,0.0,0.0,1.334,2.3896974698890704e-09,2.3896974698890706e-07,10.295955929979218,0.0,0.0
0.8,2.0,0.0002,0.03818273670522786,0.00011345177978003774,0.0,0.25409777091573227,12.599999990451087,12.599999990451087,0.0011739084061956296,12.599999990451087,0.0,0.0,1.333,2.3771040867626337e-09,2.3771040867626338e-07,10.292941187980807,0.0,0.0
0.8,2.0,0.0005,0.03818168235761785,0.00011353812278245202,0.0,0.2540903965596558,12.599999990611016,12.599999990611016,0.0011739084061956296,12.599999990611016,0.0,0.0,1.331,2.3396240852969005e-09,2.3396240852969005e-07,10.284281610372265,0.0,0.0
0.8,2.0,0.001,0.03817994119548822,0.00011368340124561524,0.0,0.25407820769827233,12.599999990872995,12.599999990872995,0.0011739084061956296,12.599999990872995,0.0,0.0,1.328,2.278142542336138e-09,2.2781425423361378e-07,10.269915190351773,0.0,0.0
0.8,2.0,0.002,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,12.599999991380132,12.599999991380132,0.0011739084061956296,12.599999991380132,0.0,0.0,1.322,2.158820987935383e-09,2.158820987935383e-07,10.24280250329377,0.0,0.0
