Method,feasible_candidates,best_J_total,K_p,K_i,K_d,settling_time,steady_state_error_percent
Constrained Random Search,45,0.036767546958508694,0.25694489552339744,1.0400132222364173,0.006830489532424547,1.55,4.536054072039925e-10
Constrained Bayesian Optimization,51,0.03670217885813229,0.2150965903300887,0.996515767737324,0.0008549205356024681,1.547,4.709601315635299e-10
