Controller,K_p,K_i,K_d,J_total,J_tracking,J_overshoot,J_control,overshoot_percent,settling_time,steady_state_error_percent,voltage_max_abs,saturation_percent,omega_final,accepted_v1,J_improvement_vs_baseline_percent
Manual Baseline,0.8,2.0,0.002,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,True,0.0
Random Search,0.5639470626663039,0.23364582838091658,0.0019512447032735119,0.032580489439631016,0.009168503162373803,0.0,0.18052925028137826,0.0,inf,5.029487367065647,7.109543610871317,0.0,12.036952600777514,False,14.658301004746106
Bayesian Optimization,0.3873946106212104,0.23331222095351095,0.001882139609331059,0.03248752000858503,0.009536597400286433,0.0,0.17843707712275444,0.0,inf,3.7805777966810687,5.820066272300671,0.0,12.187956141583598,False,14.90182617384426
