Method,K_p,K_i,K_d,total_J,tracking_cost,overshoot_cost,control_effort,overshoot_percent,settling_time,steady_state_error_percent,voltage_max_abs,saturation_percent,omega_final,feasible,evaluations,trial_budget,J_improvement_vs_baseline_percent
Manual Baseline,0.8,2.0,0.002,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,True,0,fixed benchmark,0.0
Constrained Random Search,0.25694489552339744,1.0400132222364173,0.006830489532424547,0.036767546958508694,0.0005484774035393443,8.410872884103971e-11,0.24292306996905272,0.0009171081116261032,1.55,4.536054072039925e-10,6.000142103397284,0.0,12.599999999987226,True,80,80,3.6906756376079666
Penalty-based Constrained BO,0.2150965903300887,0.996515767737324,0.0008549205356024681,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,True,80,80,3.861901571968205
Feasibility-aware BO,0.22586025859319714,0.9633909729785646,0.005591736053589743,0.03660956722771919,0.0006443015578059491,1.1547131162149069e-10,0.24148657509445198,0.0010745757843050937,1.649,1.2676702721046963e-09,6.000132245480256,0.0,12.599999999959262,True,80,80,4.104489514080583
