Method,K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,omega_min,omega_abs_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent,valid,constraint_stable,constraint_overshoot,constraint_steady_state_error,constraint_settling_time,constraint_saturation,feasible,objective,penalized,trial,objective_model_target,used_penalty_in_objective_model,g_overshoot,g_steady_state_error,g_settling_time,g_saturation,expected_improvement,feasibility_probability,constrained_expected_improvement,feasible_best_so_far,feasible_count_so_far
Feasibility-aware BO,0.3460808363204986,0.5250988676829447,0.008842100415650042,0.03451446763564434,0.001847706468461436,0.0,0.2227056250304499,12.59511691248924,12.59511691248924,0.0005073361857290571,12.59511691248924,0.0,0.0,4.636,0.0005724275654100853,0.05724275654100853,5.998105676690788,0.0,0.0,True,True,True,True,False,True,False,0.03451446763564434,False,11,0.03451446763564434,False,-0.1,-0.019427572434589917,2.636,-0.05,0.002497892688180528,0.9883799143552794,0.002468866961212549,0.037384617077166324,8
Feasibility-aware BO,0.2162288744429457,1.1087815958825065,0.0014743835459023447,0.036975828809019784,0.0005195747095688837,6.656247794202757e-06,0.24441613280886604,12.599999999977811,12.632507628332556,0.00031812281970927024,12.632507628332556,0.0025799705025838487,0.2579970502583849,1.2730000000000001,6.94047993679955e-12,6.94047993679955e-10,6.043557496594441,0.0,0.0,True,True,True,True,True,True,True,0.036975828809019784,False,12,0.036975828809019784,False,-0.09742002949741616,-0.01999999999305952,-0.7269999999999999,-0.05,0.001568326786388112,0.9403377020389702,0.00147475680635836,0.036975828809019784,9
Feasibility-aware BO,0.22586025859319714,0.9633909729785646,0.005591736053589743,0.03660956722771919,0.0006443015578059491,1.1547131162149069e-10,0.24148657509445198,12.599999999959262,12.600135396548822,0.00033200771689489446,12.600135396548822,1.0745757843050936e-05,0.0010745757843050937,1.649,1.2676702721046963e-11,1.2676702721046963e-09,6.000132245480256,0.0,0.0,True,True,True,True,True,True,True,0.03660956722771919,False,13,0.03660956722771919,False,-0.09998925424215696,-0.019999999987323297,-0.351,-0.05,0.001115500097796512,0.9317794520204502,0.0010394000698535925,0.03660956722771919,10
Feasibility-aware BO,0.3193408115760062,0.9688916527581227,0.007203508793400153,0.036509096842207094,0.0005749158807778386,0.0,0.24109431542493595,12.599999824121474,12.599999824121474,0.00046884570225221175,12.599999824121474,0.0,0.0,2.0260000000000002,3.860023651683937e-08,3.860023651683937e-06,5.999935268320007,0.0,0.0,True,True,True,True,False,True,False,0.036509096842207094,False,14,0.036509096842207094,False,-0.1,-0.019999961399763483,0.026000000000000245,-0.05,0.00011499501160942454,0.31950965479035237,3.67420164619398e-05,0.03660956722771919,10
Feasibility-aware BO,0.8029287413949762,0.5069356195084325,0.0056544262018128665,0.03436734544950661,0.0019141600721392794,0.0,0.22145899604148694,12.52945404352679,12.52945404352679,0.0011760098442453618,12.52945404352679,0.0,0.0,6.939,0.006942993082193773,0.6942993082193774,10.123289530382506,0.0,0.0,True,True,True,True,False,True,False,0.03436734544950661,False,15,0.03436734544950661,False,-0.1,-0.013057006917806226,4.939,-0.05,0.002429832551543304,0.5048408007630172,0.0012266786110411668,0.03660956722771919,10
Feasibility-aware BO,0.4298136394463816,0.5010063297527532,0.004614915229835509,0.03426249323064893,0.0020005811061775828,0.0,0.2204142971129492,12.585353285458758,12.585353285458758,0.0006298628179372803,12.585353285458758,0.0,0.0,5.353,0.001603563079070076,0.16035630790700758,5.994203355645282,0.0,0.0,True,True,True,True,False,True,False,0.03426249323064893,False,16,0.03426249323064893,False,-0.1,-0.018396436920929925,3.3529999999999998,-0.05,0.0023411305319015682,0.4295282994484279,0.001005581816154474,0.03660956722771919,10
Feasibility-aware BO,0.5170112416326323,0.6112730489387568,0.0007467988019100957,0.034957106931076926,0.0013092509728462323,0.0,0.22781037564912793,12.593378655338652,12.593378655338652,0.0007576576324449088,12.593378655338652,0.0,0.0,4.65,0.0007527235788544539,0.0752723578854454,6.553953470301762,0.0,0.0,True,True,True,True,False,True,False,0.034957106931076926,False,17,0.034957106931076926,False,-0.1,-0.019247276421145546,2.6500000000000004,-0.05,0.001864855675859832,0.360761270539517,0.0006727677029960227,0.03660956722771919,10
Feasibility-aware BO,0.4091758669774368,0.5184630884690182,0.0017468130283637485,0.034402837758149195,0.0018717640096485024,0.0,0.22186519568240065,12.589981789088968,12.589981789088968,0.0005996803217394683,12.589981789088968,0.0,0.0,5.063,0.0011218842156904846,0.11218842156904846,5.996070359978659,0.0,0.0,True,True,True,True,False,True,False,0.034402837758149195,False,18,0.034402837758149195,False,-0.1,-0.018878115784309514,3.0629999999999997,-0.05,0.002204691720282523,0.3684582236562062,0.0008123367949648437,0.03660956722771919,10
Feasibility-aware BO,0.20157234602887866,0.8038837206049816,0.004404000760409826,0.036143897724429136,0.000896116435263644,0.0,0.23737485242180636,12.59999995728805,12.59999995728805,0.00029622338817593137,12.59999995728805,0.0,0.0,2.121,1.0692789299496109e-08,1.069278929949611e-06,5.99993530117903,0.0,0.0,True,True,True,True,False,True,False,0.036143897724429136,False,19,0.036143897724429136,False,-0.1,-0.0199999893072107,0.121,-0.05,0.00041577274406384007,0.6708469169407358,0.0002789198635032167,0.03660956722771919,10
Feasibility-aware BO,0.5740559606970584,0.5153768147113295,0.006426725997905931,0.03432557282332332,0.0018576005836583932,0.0,0.22140674982085526,12.571917032028349,12.571917032028349,0.0008410151160400659,12.571917032028349,0.0,0.0,5.856,0.0029384902263540624,0.29384902263540624,7.2402044036226885,0.0,0.0,True,True,True,True,False,True,False,0.03432557282332332,False,20,0.03432557282332332,False,-0.1,-0.017061509773645938,3.856,-0.05,0.002288044917012823,0.34729437097579946,0.0007946251202183436,0.03660956722771919,10
Feasibility-aware BO,0.679916431574723,0.5017198729709689,0.006286252790820226,0.034252786009485524,0.0019578626309205553,0.0,0.2205204562062213,12.549725870167611,12.549725870167611,0.0009959458699657592,12.549725870167611,0.0,0.0,6.501,0.005068102617606259,0.5068102617606259,8.573268708240944,0.0,0.0,True,True,True,True,False,True,False,0.034252786009485524,False,21,0.034252786009485524,False,-0.1,-0.014931897382393741,4.501,-0.05,0.002345365932055553,0.3211498312277143,0.0007532138732468716,0.03660956722771919,10
Feasibility-aware BO,0.510421509551857,0.5610366735811974,0.0028539505229801822,0.03464708838016952,0.0015658889094720772,0.0,0.22471703356324185,12.58833553935528,12.58833553935528,0.0007479385366998613,12.58833553935528,0.0,0.0,5.08,0.0012857468946824739,0.12857468946824738,6.446517309454884,0.0,0.0,True,True,True,True,False,True,False,0.03464708838016952,False,22,0.03464708838016952,False,-0.1,-0.018714253105317526,3.08,-0.05,0.00196446723611355,0.22473992643241236,0.00044149422212304366,0.03660956722771919,10
Feasibility-aware BO,0.5939671888427134,0.6511664360350329,0.006074035966541228,0.03517387186800703,0.0011344777532182363,0.0,0.22995456810717396,12.593230377183524,12.593230377183524,0.0008703584610223718,12.593230377183524,0.0,0.0,4.5920000000000005,0.0007647182814502734,0.07647182814502734,7.494591853893645,0.0,0.0,True,True,True,True,False,True,False,0.03517387186800703,False,23,0.03517387186800703,False,-0.1,-0.019235281718549727,2.5920000000000005,-0.05,0.0014367088358517091,0.2528596841421622,0.00036328574243771675,0.03660956722771919,10
Feasibility-aware BO,0.47532145187305586,0.5036422597983576,0.004481476845907349,0.03425865393924295,0.001967336703741037,0.0,0.22052167944665552,12.58094527795973,12.58094527795973,0.0006964776532186836,12.58094527795973,0.0,0.0,5.548,0.002049450075688975,0.2049450075688975,5.99828942852593,0.0,0.0,True,True,True,True,False,True,False,0.03425865393924295,False,24,0.03425865393924295,False,-0.1,-0.017950549924311027,3.548,-0.05,0.0023520786047064243,0.27356121593313176,0.0006434374830737934,0.03660956722771919,10
Feasibility-aware BO,0.5359779251974539,0.5014654728296402,0.0052550117023566914,0.034227243441601746,0.0019734989774283004,0.0,0.22028762703429844,12.572629255201194,12.572629255201194,0.0007852589357338592,12.572629255201194,0.0,0.0,5.862,0.0028747335475317235,0.28747335475317237,6.761410967271203,0.0,0.0,True,True,True,True,False,True,False,0.034227243441601746,False,25,0.034227243441601746,False,-0.1,-0.017125266452468278,3.862,-0.05,0.002349497902317442,0.2589822646436064,0.0006084782875175738,0.03660956722771919,10
Feasibility-aware BO,0.4490592235990206,0.5000464880681958,0.0009896473688370234,0.03424562561856107,0.0020060485486395555,0.0,0.22027997659584897,12.582815928282987,12.582815928282987,0.0006580316786015024,12.582815928282987,0.0,0.0,5.477,0.001862213464762468,0.1862213464762468,5.993166877387508,0.0,0.0,True,True,True,True,False,True,False,0.03424562561856107,False,26,0.03424562561856107,False,-0.1,-0.01813778653523753,3.4770000000000003,-0.05,0.00236537070197803,0.2451997599476085,0.0005799883283121192,0.03660956722771919,10
Feasibility-aware BO,0.4114742620806964,0.5045595886102008,0.005464120232926701,0.03430146502383859,0.0019768393286666427,0.0,0.22076907617759067,12.587848334787957,12.587848334787957,0.000603024191935373,12.587848334787957,0.0,0.0,5.214,0.0013461036190807116,0.13461036190807116,5.995214923363363,0.0,0.0,True,True,True,True,False,True,False,0.03430146502383859,False,27,0.03430146502383859,False,-0.1,-0.01865389638091929,3.2140000000000004,-0.05,0.002308506352099879,0.23307742740880572,0.0005380607217043264,0.03660956722771919,10
