K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,omega_min,omega_abs_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent,valid,constraint_stable,constraint_overshoot,constraint_steady_state_error,constraint_settling_time,constraint_saturation,feasible,objective,penalized,trial,feasible_best_so_far
1.2061428631227524,2.036074539132183,0.008585979199113825,0.03803648469993072,0.00014898515096165116,0.0,0.2529806240623582,12.5999959906531,12.5999959906531,0.0013940249450132166,12.5999959906531,0.0,0.0,1.939,6.821033637034845e-07,6.821033637034844e-05,12.0,0.0052994700529947,0.52994700529947,True,True,True,True,True,True,True,0.03803648469993072,False,1,0.03803648469993072
1.106578437777173,0.8296207176067734,0.00975622351636756,0.03605024053796396,0.0007613916306623862,0.0,0.23728937039711023,12.585156867357927,12.585156867357927,0.0013940249450132166,12.585156867357927,0.0,0.0,4.877,0.0015729511204463722,0.15729511204463723,12.0,0.0037996200379962005,0.37996200379962003,True,True,True,True,False,True,False,1000000.0,True,2,0.03803648469993072
1.189481612587459,3.2512250684693385,0.0012811363267554588,0.038645516964568825,7.796776222009754e-05,0.0,0.25732490871491176,12.59999999987439,12.59999999987439,0.0013940249450132166,12.59999999987439,0.0,0.0,1.121,4.20057639465605e-11,4.20057639465605e-09,12.0,0.005699430056994301,0.5699430056994301,True,True,True,True,True,True,True,0.038645516964568825,False,3,0.03803648469993072
0.7855017192642373,1.7977930848140344,0.009267649888486018,0.03794892405799974,0.000140293532861818,0.0,0.25243165292188435,12.599999936112056,12.599999936112056,0.001152390917381884,12.599999936112056,0.0,0.0,1.494,1.4094783893817351e-08,1.4094783893817352e-06,9.931038816102452,0.0,0.0,True,True,True,True,True,True,True,0.03794892405799974,False,4,0.03794892405799974
1.037024656104864,3.379665646447905,0.004434141988273311,0.03883718996387983,6.323899698292376e-05,0.0,0.25866164377126716,12.599999999999806,12.599999999999806,0.0013940249450132166,12.599999999999806,0.0,0.0,0.792,8.924078407463164e-14,8.924078407463163e-12,12.0,0.0033996600339966003,0.33996600339966004,True,True,True,True,True,True,True,0.03883718996387983,False,5,0.03794892405799974
0.49541033832021,2.4410467545554217,0.0006381725610417532,0.03853330299373065,0.00012570868118238357,0.0005129770099827026,0.255530890216837,12.5999999999999,12.88537734686701,0.0007287181121887836,12.88537734686701,0.022648995783096048,2.264899578309605,0.932,7.894919286223336e-15,7.894919286223336e-13,7.4040118698507555,0.0,0.0,True,True,True,True,True,True,True,0.03853330299373065,False,6,0.03794892405799974
1.2759205235903568,2.710825396927227,0.007580877400853739,0.03841124596713069,0.00010112831469456934,0.0,0.25567045985542636,12.599999950697313,12.599999950697313,0.0013940249450132166,12.599999950697313,0.0,0.0,1.467,1.1052047601615703e-08,1.1052047601615702e-06,12.0,0.006199380061993801,0.6199380061993801,True,True,True,True,True,True,True,0.03841124596713069,False,7,0.03794892405799974
0.660883758568829,3.8974430853821613,0.008931211213221976,0.04067998067230143,8.186413469730964e-05,0.006153572610820615,0.26061646025851926,12.600000000000104,13.588403352733023,0.0009730576569859233,13.588403352733023,0.07844471053436691,7.844471053436691,0.902,8.599822793921848e-15,8.599822793921849e-13,9.345053158467437,0.0,0.0,True,True,True,True,True,True,True,0.04067998067230143,False,8,0.03794892405799974
1.2060046897147008,1.8744852049632332,0.00032867670266468975,0.037895838944962915,0.0001783005494262817,0.0,0.25192572410204767,12.59998440932769,12.59998440932769,0.0013940249450132166,12.59998440932769,0.0,0.0,2.173,2.4478646607413732e-06,0.00024478646607413733,12.0,0.0059994000599940004,0.5999400059994,True,True,True,True,False,True,False,1000000.0,True,9,0.03794892405799974
1.0689766419175057,2.4622849425520887,0.008851628766338411,0.03840490401886318,9.642269556703816e-05,0.0,0.2556470026768197,12.599999986881452,12.599999986881452,0.0013940249450132166,12.599999986881452,0.0,0.0,1.343,3.1927781053907113e-09,3.192778105390711e-07,12.0,0.0033996600339966003,0.33996600339966004,True,True,True,True,True,True,True,0.03840490401886318,False,10,0.03794892405799974
