test_group,condition,condition_label,Controller,J_total,J_tracking,J_overshoot,J_control,overshoot_percent,settling_time,steady_state_error_percent,voltage_max_abs,saturation_percent,omega_final,disturbance_recovery_time,performance_degradation_percent,J_total_std,J_tracking_std,J_overshoot_std,J_control_std,overshoot_percent_std,settling_time_std,steady_state_error_percent_std,voltage_max_abs_std,saturation_percent_std,omega_final_std,disturbance_recovery_time_std,performance_degradation_percent_std
resistance,R_1.0x,R = R0,Manual PID,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.0,,,,,,,,,,,,
resistance,R_1.0x,R = R0,Optimized PID,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.0,,,,,,,,,,,,
resistance,R_1.0x,R = R0,RL Direct Voltage Control,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.0,,,,,,,,,,,,
resistance,R_1.2x,R = 1.2 R0,Manual PID,0.05353174721485984,0.0001662351516025967,0.0,0.3562133741593219,0.0,1.512,7.250086950547383e-07,10.249693200040307,0.0,12.599999968968246,,40.22165830153131,,,,,,,,,,,,
resistance,R_1.2x,R = 1.2 R0,Optimized PID,0.05127240214646722,0.0008520645031754494,1.9929324709462343e-19,0.3384077562970797,4.4642272242194775e-08,1.921,5.133727658147339e-09,7.148577381202513,0.0,12.600000000180499,,39.698524015847454,,,,,,,,,,,,
resistance,R_1.2x,R = 1.2 R0,RL Direct Voltage Control,0.04674874159897962,0.010151594558714918,0.0,0.27105189909167116,0.0,inf,14.185840662848115,12.0,0.6099390060993901,10.812584117486352,,33.937738953646296,,,,,,,,,,,,
sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,Manual PID,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,Optimized PID,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,RL Direct Voltage Control,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,Manual PID,0.03817721739994582,0.0001139732768815726,3.852915484848481e-09,0.2540588831372534,0.006132239298708325,1.3222,0.0010863881119911006,10.270795225367703,0.0,12.600039589352956,,0.0018309074071644264,2.0485870492500662e-07,1.821279438025027e-08,1.2248396732614169e-09,1.3650543808112165e-06,0.0010751720977720438,0.0004472135954999335,0.0008231574241734176,0.007639617224608753,0.0,0.00045037253791446356,,0.0005366091864478463
sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,Optimized PID,0.03670260783230443,0.0006108449691228509,9.489681289806776e-09,0.24224065652273602,0.009706155006765603,1.547,0.000857963452514381,6.025903230662811,0.0,12.60007292291626,,0.0011687975632237735,2.3166543438454278e-07,4.169716074493875e-08,1.7932617841838454e-09,1.5180193206400432e-06,0.000926935733146312,0.0,0.0005060544170260944,0.0012537125887660044,0.0,0.00026229824792156165,,0.000631203491432695
sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,RL Direct Voltage Control,0.03490341055020875,0.007778798490574583,0.0,0.20157420970576007,0.0,inf,12.429558172608706,12.0,0.597940205979402,11.033655646835246,,0.0002081546477835641,1.4360587385250363e-07,3.6989535981310096e-07,0.0,1.2531527200093152e-06,0.0,,0.001710296481526167,0.0,0.004471688786120972,0.0007815228447655511,,0.0004114387978499287
sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,Manual PID,0.03817853287401079,0.00011396795877533164,1.5556792610976033e-08,0.25406765473031623,0.012343811309690526,1.3228,0.0021729057532245597,10.30416563299981,0.0,12.60007918732578,,0.005276674908500263,4.068658728844709e-07,3.640462384307043e-08,4.639590514473014e-09,2.7103552002006736e-06,0.0019994525689912552,0.0010954451150102871,0.001646372429332246,0.01571437092545615,0.0,0.0009007450758207773,,0.0010657490250217823
sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,Optimized PID,0.0367031345298214,0.0006108314316796667,1.2694357765844483e-08,0.2422442166481611,0.011114589844858924,1.5468,0.001715927187711986,6.051602308077712,0.0,12.600145845831834,,0.002603855462662823,4.6313657070178173e-07,8.340980786684287e-08,4.581068955294041e-09,3.034074805160826e-06,0.00206442190425181,0.0004472135954999252,0.0010121090435764126,0.0026763174176435414,0.0,0.00052459649584938,,0.0012618775917687987
sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,RL Direct Voltage Control,0.0349038915372286,0.007777977680201882,0.0,0.20158069952738317,0.0,inf,12.428658128817537,12.0,0.597940205979402,11.033541681296445,,0.001586209151523374,2.9238950273332664e-07,7.413870094710286e-07,0.0,2.523221525840934e-06,0.0,,0.003430727892690757,0.0,0.004471688786120972,0.0015717528158591533,,0.0008377121511806388
