Controller,K_p,K_i,K_d,J_total,J_tracking,J_overshoot,J_control,overshoot_percent,settling_time,steady_state_error_percent,voltage_max_abs,saturation_percent,omega_final,feasible,checkpoint_type,checkpoint_metric,checkpoint_score,checkpoint_episode,actor_lr,critic_lr,J_improvement_vs_manual_percent
Manual PID,0.8,2.0,0.002,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,True,,,,,,,0.0
Optimized PID,0.2150965903300887,0.996515767737324,0.0008549205356024,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,True,,,,,,,3.861901571968205
RL Direct Control,,,,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,False,best_deterministic_eval,J_total,0.03490333789728869,20.0,0.0001,0.0001,8.573805734890644
