Controller,mean_degradation_percent,worst_degradation_percent,mean_J_total,worst_J_total,mean_voltage_max_abs,max_saturation_percent
Manual PID,3.209866241544495,40.22165830153131,0.039401933600306874,0.05353174721485984,10.252182132496873,0.0
Optimized PID,3.200047792107095,39.698524015847454,0.03787666612233715,0.05127240214646722,6.164833718471412,0.0
RL Direct Voltage Control,3.0951278555145536,33.937738953646296,0.03598364083105204,0.04674874159897962,12.0,0.64993500649935
