K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent,valid,penalized,trial,best_so_far
0.6236857178736515,0.905812957516502,0.0017171958398227649,0.036251937538701685,0.0005666975920009936,0.0,0.23941279322334058,12.599544694458979,12.599544694458979,0.0,0.0,3.235,5.975024865298748e-05,0.005975024865298747,7.906373228516967,0.0,0.0,True,False,1,0.036251937538701685
0.5639470626663039,0.23364582838091658,0.0019512447032735119,0.032580489439631016,0.009168503162373803,0.0,0.18052925028137826,12.036952600777514,12.036952600777514,0.0,0.0,inf,0.050294873670656465,5.029487367065647,7.109543610871317,0.0,0.0,True,False,2,0.032580489439631016
0.6136889675524754,1.58282539529006,0.0002562272653510918,0.03763019528513283,0.00019014491070891684,0.0,0.25010738892471657,12.599999970588497,12.599999970588497,0.0,0.0,1.547,6.935078966123564e-09,6.935078966123564e-07,7.9643889042106615,0.0,0.0,True,False,3,0.032580489439631016
0.3713010315585424,0.7730561472535334,0.0018535299776972036,0.0358000792167283,0.0008416695222569363,0.0,0.23530051668916094,12.599893205405504,12.599893205405504,0.0,0.0,3.036,1.5582326970047914e-05,0.0015582326970047914,5.999900707526364,0.0,0.0,True,False,4,0.032580489439631016
0.5222147936629183,1.6543851458781185,0.0008868283976546622,0.03769668182807431,0.00019086652388710336,0.0,0.2505477460916137,12.599999999877735,12.599999999877735,0.0,0.0,1.234,4.1807404099494134e-11,4.180740409949413e-09,6.9429499662361485,0.0,0.0,True,False,5,0.032580489439631016
0.6893377376073622,0.05877524363233529,0.0010292586842326997,0.0444734008169812,0.04352500415685347,0.0,0.12238932215246079,9.509794660475848,9.509794660475848,0.0,0.0,inf,0.251583332185889,25.1583332185889,8.686396061922531,0.0,0.0,True,False,6,0.032580489439631016
0.3081243743454419,0.05205134649275687,0.0019236314828005587,0.06047957160411908,0.08015620587599531,0.0,0.08257232052347925,8.676088031354613,8.676088031354613,0.0,0.0,inf,0.3221219065659771,32.21219065659771,4.168561466923011,0.0,0.0,True,False,7,0.032580489439631016
0.06576036321938203,0.355003696606028,0.0016465843228835005,0.03412536577869299,0.004591464039290885,0.0,0.20913658236745641,12.596538860396235,12.596538860396235,0.0,0.0,4.859,0.00042903883759803213,0.04290388375980321,5.998684507440612,0.0,0.0,True,False,8,0.032580489439631016
0.6235948875407729,0.6591900844403745,0.00015943115873487534,0.03523226790798446,0.0011068404596827341,0.0,0.23045442421449885,12.59231516733038,12.59231516733038,0.0,0.0,4.656,0.0008605633974337731,0.08605633974337731,7.896123195168694,0.0,0.0,True,False,9,0.032580489439631016
0.6223800254565462,0.4342054646798955,0.0010837743022487675,0.03372566283057216,0.0026627131059593534,0.0,0.214186899779977,12.51772441475596,12.51772441475596,0.0,0.0,7.32,0.008104393952645386,0.8104393952645386,7.85407841327278,0.0,0.0,True,False,10,0.032580489439631016
0.5699113105030038,0.6960768658345498,0.0004753341631703736,0.03540857296579843,0.0009913810389786607,0.0,0.23209162894940824,12.59650130883382,12.59650130883382,0.0,0.0,4.2,0.00041064057370039767,0.041064057370039764,7.227319431197641,0.0,0.0,True,False,11,0.032580489439631016
0.5572090772864773,1.29166886578245,0.00012733349881584945,0.03716773763566832,0.0002843179768374296,0.0,0.24664764566377242,12.599999198626264,12.599999198626264,0.0,0.0,1.945,1.543742940886735e-07,1.5437429408867352e-05,7.211554857909206,0.0,0.0,True,False,12,0.032580489439631016
0.05729605023516425,1.680021988062781,0.0009423766588935483,0.04390099689259204,0.0005467146410254792,0.022334023420318042,0.2532630816859816,12.59999993224592,14.483016080178205,0.1494457206490639,14.944572064906389,2.149,1.450545292346392e-08,1.450545292346392e-06,7.614165199891679,0.0,0.0,True,False,13,0.032580489439631016
0.07200587689326324,0.6058009806619186,0.0019616889799834083,0.035706019045762726,0.0017251961879824625,1.0442954248246381e-09,0.2311393404793293,12.599999988779523,12.600407176057308,3.231556010383602e-05,0.0032315560103836015,2.329,2.0013944646189698e-10,2.0013944646189698e-08,6.000238605865665,0.0,0.0,True,False,14,0.032580489439631016
0.6191964725965053,1.0367484371488929,0.00047328566941644577,0.03663287040325561,0.00042909201290077247,0.0,0.24250276797010098,12.599911689931096,12.599911689931096,0.0,0.0,2.746,1.2746745289335526e-05,0.0012746745289335525,7.891277438488286,0.0,0.0,True,False,15,0.032580489439631016
0.3785705870706323,0.9536234127497988,0.0016705651939360872,0.03641378556687438,0.0005593588125012913,0.0,0.240521135195824,12.599996358863446,12.599996358863446,0.0,0.0,2.333,6.518237704086903e-07,6.518237704086903e-05,5.999934291137993,0.0,0.0,True,False,16,0.032580489439631016
0.3636847843278194,0.6932085276728865,0.0005248908199968616,0.03545489729005422,0.0010479960210864998,0.0,0.2321739978493488,12.599601298462858,12.599601298462858,0.0,0.0,3.446,5.386925755514216e-05,0.005386925755514216,5.999799203869497,0.0,0.0,True,False,17,0.032580489439631016
0.3558073189157423,1.1509414421132882,0.0006987093383780599,0.03691775136731414,0.00040611318061280265,0.0,0.24449388972630973,12.599999991100024,12.599999991100024,0.0,0.0,1.7,2.3584362681489556e-09,2.3584362681489556e-07,5.999935308480796,0.0,0.0,True,False,18,0.032580489439631016
0.3873946106212104,0.23331222095351095,0.001882139609331059,0.03248752000858503,0.009536597400286433,0.0,0.17843707712275444,12.187956141583598,12.187956141583598,0.0,0.0,inf,0.037805777966810686,3.7805777966810687,5.820066272300671,0.0,0.0,True,False,19,0.03248752000858503
0.391283295296912,1.9748072270931731,0.000124348548774609,0.03812787475413648,0.0001834219325390499,0.0003043723463368142,0.25294485672019235,12.599999999999907,12.819823005403057,0.017446270270083924,1.7446270270083923,0.665,7.330996480064527e-15,7.330996480064527e-13,6.644461592659001,0.0,0.0,True,False,20,0.03248752000858503
0.38494177334711,0.6263857728964115,0.001146767443430344,0.035096963328560375,0.0012769401963957751,0.0,0.22887199473815278,12.598411868041154,12.598411868041154,0.0,0.0,3.979,0.00019770126036133112,0.019770126036133113,5.999362973917319,0.0,0.0,True,False,21,0.03248752000858503
0.08142118644156812,0.3655522468267068,0.0001836290143957764,0.03409270508841996,0.004283369169277671,0.0,0.21015122391235574,12.59636446666366,12.59636446666366,0.0,0.0,4.853,0.0004479342161749641,0.04479342161749641,5.998616283773159,0.0,0.0,True,False,22,0.03248752000858503
0.08666135391079327,0.18765297205998455,0.0015721605976204076,0.0340474982673913,0.015785624732644027,0.0,0.16384082285203255,12.304651119474725,12.304651119474725,0.0,0.0,inf,0.02832436753020817,2.8324367530208168,5.8744374874120195,0.0,0.0,True,False,23,0.03248752000858503
