K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,omega_min,omega_abs_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent,valid,constraint_stable,constraint_overshoot,constraint_steady_state_error,constraint_settling_time,constraint_saturation,feasible,objective,penalized,trial,feasible_best_so_far
1.2061428631227524,2.036074539132183,0.008585979199113825,0.03803648469993072,0.00014898515096165116,0.0,0.2529806240623582,12.5999959906531,12.5999959906531,0.0013940249450132166,12.5999959906531,0.0,0.0,1.939,6.821033637034845e-07,6.821033637034844e-05,12.0,0.0052994700529947,0.52994700529947,True,True,True,True,True,True,True,0.03803648469993072,False,1,0.03803648469993072
1.106578437777173,0.8296207176067734,0.00975622351636756,0.03605024053796396,0.0007613916306623862,0.0,0.23728937039711023,12.585156867357927,12.585156867357927,0.0013940249450132166,12.585156867357927,0.0,0.0,4.877,0.0015729511204463722,0.15729511204463723,12.0,0.0037996200379962005,0.37996200379962003,True,True,True,True,False,True,False,1000000.0,True,2,0.03803648469993072
1.189481612587459,3.2512250684693385,0.0012811363267554588,0.038645516964568825,7.796776222009754e-05,0.0,0.25732490871491176,12.59999999987439,12.59999999987439,0.0013940249450132166,12.59999999987439,0.0,0.0,1.121,4.20057639465605e-11,4.20057639465605e-09,12.0,0.005699430056994301,0.5699430056994301,True,True,True,True,True,True,True,0.038645516964568825,False,3,0.03803648469993072
0.7855017192642373,1.7977930848140344,0.009267649888486018,0.03794892405799974,0.000140293532861818,0.0,0.25243165292188435,12.599999936112056,12.599999936112056,0.001152390917381884,12.599999936112056,0.0,0.0,1.494,1.4094783893817351e-08,1.4094783893817352e-06,9.931038816102452,0.0,0.0,True,True,True,True,True,True,True,0.03794892405799974,False,4,0.03794892405799974
1.037024656104864,3.379665646447905,0.004434141988273311,0.03883718996387983,6.323899698292376e-05,0.0,0.25866164377126716,12.599999999999806,12.599999999999806,0.0013940249450132166,12.599999999999806,0.0,0.0,0.792,8.924078407463164e-14,8.924078407463163e-12,12.0,0.0033996600339966003,0.33996600339966004,True,True,True,True,True,True,True,0.03883718996387983,False,5,0.03794892405799974
0.49541033832021,2.4410467545554217,0.0006381725610417532,0.03853330299373065,0.00012570868118238357,0.0005129770099827026,0.255530890216837,12.5999999999999,12.88537734686701,0.0007287181121887836,12.88537734686701,0.022648995783096048,2.264899578309605,0.932,7.894919286223336e-15,7.894919286223336e-13,7.4040118698507555,0.0,0.0,True,True,True,True,True,True,True,0.03853330299373065,False,6,0.03794892405799974
1.2759205235903568,2.710825396927227,0.007580877400853739,0.03841124596713069,0.00010112831469456934,0.0,0.25567045985542636,12.599999950697313,12.599999950697313,0.0013940249450132166,12.599999950697313,0.0,0.0,1.467,1.1052047601615703e-08,1.1052047601615702e-06,12.0,0.006199380061993801,0.6199380061993801,True,True,True,True,True,True,True,0.03841124596713069,False,7,0.03794892405799974
0.6608837585688289,3.8974430853821613,0.008931211213221976,0.04067998067230143,8.186413469730968e-05,0.006153572610820615,0.26061646025851926,12.600000000000104,13.588403352733023,0.0009730576569859231,13.588403352733023,0.07844471053436691,7.844471053436691,0.902,8.599822793921848e-15,8.599822793921849e-13,9.345053158467437,0.0,0.0,True,True,True,True,True,True,True,0.04067998067230143,False,8,0.03794892405799974
1.2118985461958904,1.1812354774818865,0.004667210037270342,0.03697357662211457,0.0004065497315907504,0.0,0.24486431188773414,12.597934591829329,12.597934591829329,0.0013940249450132166,12.597934591829329,0.0,0.0,3.567,0.0002436983223002503,0.02436983223002503,12.0,0.005699430056994301,0.5699430056994301,True,True,True,True,False,True,False,1000000.0,True,9,0.03794892405799974
0.25694489552339744,1.0400132222364173,0.006830489532424547,0.036767546958508694,0.0005484774035393443,8.410872884103971e-11,0.24292306996905272,12.599999999987226,12.600115555622065,0.0003776192681397905,12.600115555622065,9.171081116261033e-06,0.0009171081116261032,1.55,4.536054072039925e-12,4.536054072039925e-10,6.000142103397284,0.0,0.0,True,True,True,True,True,True,True,0.036767546958508694,False,10,0.036767546958508694
